
IDENTIFY "AH-64(BLUE/HELI)"
CATEGORY ATTACKER
AIRCLASS HELICOPTER
AFTBURNR FALSE 	# HAVE AFTERBURNER?
PROPELLR 4320HP
PROPEFCY 0.45                 #Propeller efficiency
PROPVMIN 20m/s                #Minimum speed that T=P/V becomes valid
WEIGHCLN 7,89t 	# WEIGHT CLEAN
WEIGFUEL 1.50t 	# WEIGHT OF FUEL
WEIGLOAD 15.00t 	# WEIGHT OF PAYLOAD
FUELABRN 0.00kg 	# FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.22kg 	# FUEL CONSUMPTION AT MILITARY POWER
GUNSIGHT FALSE
GUNINTVL 0.15

COCKPITP 0m  0.50m  2.7m  #COCKPIT POSITION
LEFTGEAR -0.89m -1.79m  0.95m  #LEFT LANDING GEAR POSITION
RIGHGEAR  0.89m -1.79m  0.95m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.045m -9.225m  #WHEEL POSITION
ARRESTER  0.0m -0.66m -8.80m
MACHNGUN 0m -1.28m  3.715m  #MACHINE GUN POSITION
SMOKEGEN -0.7m  -0.6m -2.00m  #SMOKE GENERATOR POSITION
VAPORPO0  2.51m  -0.10m -0.635m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  2.51m  -0.10m -0.653m
HTRADIUS 10.3m

EXCAMERA "CO-PILOT" 0m  0.75m  1.3m 0deg 0deg 0deg INSIDE

RADARCRS 0.6 	# RADAR CROSS SECTION
STRENGTH 15

CRITAOAP 20deg 	# CRITICAL AOA POSITIVE
CRITAOAM -15deg 	# CRITICAL AOA NEGATIVE

CRITSPED 300km/h 	# CRITICAL SPEED
MAXSPEED 424km/h 	# MAXIMUM SPEED

HASSPOIL FALSE 	# HAS SPOILER?
RETRGEAR FALSE 	# HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE 	# HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0 	# EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0 	# EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0 	# EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0 	# EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0 	# EFFECT OF GEAR FOR Cd
CDSPOILR 0.0 	# EFFECT OF SPOILER FOR Cd

WINGAREA 1m^2 	# WING AREA  1m^2 for a helicopter

MXIPTAOA 0.0deg 	# MAX INPUT AOA
MXIPTSSA 0.0deg 	# MAX INPUT SSA
MXIPTROL 0.0deg 	# MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt 	# MINIMUM MANEUVABLE SPEED
MANESPD2 120kt 	# FULLY MANEUVABLE SPEED
CPITMANE 4.0 	# PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0 	# PITCH STABILITY CONSTANT
CYAWMANE 4.0 	# YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0 	# YAW STABILITY CONSTANT
CROLLMAN 4.0 	# ROLL MANEUVABILITY CONSTANT


TRSTVCTR TRUE 	# HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 1.0m 0.08m 	# Thrust vector 0
TRSTDIR1 0.0m 1.0m 0.08m 	# Thrust vector 1
PSTMPTCH 50deg 	# Post-Stall Maneuver VPitch
PSTMYAW_ 60deg 	# Post-Stall Maneuver VYaw
PSTMROLL 50deg 	# Post-Stall Maneuver VRoll

CTLLDGEA TRUE 	# CONTROL LANDINGGEAR
CTLBRAKE FALSE 	# CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE 	# CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
