IDENTIFY "TU-22(RED/HEAVY)"
CATEGORY HEAVYBOMBER
AFTBURNR TRUE 	# HAVE AFTERBURNER?
THRAFTBN 77t 	# THRUST WITH AFTERBURNER
THRMILIT 60t 	# THRUST AT MILITARY POWER
WEIGHCLN 86.1t 	# WEIGHT CLEAN
WEIGFUEL 88.4t 	# WEIGHT OF FUEL
WEIGLOAD 34t 	# WEIGHT OF PAYLOAD
FUELABRN 25.4kg 	# FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 1.2kg 	# FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.5m  0.40m  12.8m  #COCKPIT POSITION
LEFTGEAR -4.2m -3.64m -4.76m  #LEFT LANDING GEAR POSITION
RIGHGEAR  4.2m -3.64m -4.76m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -3.73m 8.90m  #WHEEL POSITION
ARRESTER  0.0m -2.42m -13.30m
MACHNGUN -0.10m 1.35m -17.54m  #MACHINE GUN POSITION
MACHNGN2 0.10m 1.35m -17.54m  #MACHINE GUN POSITION
GUNDIREC  0.0m 0.0m -1.0m     #MACHINE GUN DIRECTION
SMOKEGEN  0.0m  -0.5m -16.5m  #SMOKE GENERATOR POSITION
VAPORPO0 -12.00m  -0.83m -13.0m  #VAPOR POSITION (Wings Swept back)
VAPORPO1 -16.00m  -0.83m -7.1m  #VAPOR POSITION (Wings Spread)
HTRADIUS 20.8m

EXCAMERA "CO-PILOT" 0.5m  0.40m  12.8m 0deg 0deg 0deg INSIDE

TRIGGER1 GUN
TRIGGER2 AGM
TRIGGER3 BOM
TRIGGER4 NON

GEARHORN FALSE
STRENGTH 35

CRITAOAP 12deg 	# CRITICAL AOA POSITIVE
CRITAOAM -8deg 	# CRITICAL AOA NEGATIVE

CRITSPED 1.0MACH 	# CRITICAL SPEED
MAXSPEED 1.1MACH 	# MAXIMUM SPEED

HASSPOIL TRUE 	# HAS SPOILER?
RETRGEAR TRUE 	# HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE 	# HAS VARIABLE GEOMETRY WING?

