Ground object (IDENTIFY),Placed on Luavi,In the RvB 6 replay,.dat file,Model used (visual .dnm/.srf),Size w x h x l (m),Note
2CH_HOHEI,10,10,user\2ch\2chground\guard_ground\hohei.dat,gamefiles\User\2ch\2chground\guard_ground\hohei.dnm,2x2x1,
5G_BRAINWASHING_TOWER,2,2,user\RvB\ww3\ground\radiotower55m.dat,gamefiles\user\RvB\ww3\ground\radiotower55m.dnm,21x53x21,
CARGO_PLANE_BLUE,3,3,user\RvB\ww3\ground\cargoblue.dat,gamefiles\user\RvB\ww3\ground\cargoblue.srf,39x6x36,
CARGO_PLANE_RED,3,3,user\RvB\ww3\ground\cargored.dat,gamefiles\user\RvB\ww3\ground\cargored.srf,39x6x36,
DESTROYER_BLUE,9,9,user\RvB\ww3\ground\bluedestroyer.dat,gamefiles\user\RvB\ww3\ground\bluedestroyer.dnm,18x19x155,
DESTROYER_RED,9,9,user\RvB\ww3\ground\reddestroyer.dat,gamefiles\user\RvB\ww3\ground\reddestroyer.dnm,20x16x162,
PAPI_LEFT,4,4,papi_left.dat,YSFLIGHT-master\runtime\ground\papi_left.dnm,20x2x2,
RADAR_SIGHT,2,2,user\2ch\2chground\guard_ground\radarsight.dat,gamefiles\User\2ch\2chground\guard_ground\radarsight.dnm,20x11x13,
RVB3_BEACHPARTY,1,1,user\RvB\ww3\ground\beachparty.dat,gamefiles\user\RvB\ww3\ground\beachparty.dnm,16x4x19,
RVB3_CITY_A,2,2,user\RvB\ww3\ground\city_a.dat,gamefiles\user\RvB\ww3\ground\city_a.srf,765x100x836,
RVB3_CITY_B,1,1,user\RvB\ww3\ground\city_b.dat,gamefiles\user\RvB\ww3\ground\city_b.srf,1008x220x981,
RVB3_CITY_C,2,2,user\RvB\ww3\ground\city_c.dat,gamefiles\user\RvB\ww3\ground\city_c.srf,734x27x740,
RVB3_CITY_D,3,3,user\RvB\ww3\ground\city_d.dat,gamefiles\user\RvB\ww3\ground\city_d.srf,967x45x654,
RVB3_CITY_E,2,2,user\RvB\ww3\ground\city_e.dat,gamefiles\user\RvB\ww3\ground\city_e.srf,1009x33x1185,
RVB3_CITY_F,2,2,user\RvB\ww3\ground\city_f.dat,gamefiles\user\RvB\ww3\ground\city_f.srf,1290x129x813,
RVB3_CONTAINERS1,2,2,user\RvB\ww3\ground\containers1.dat,gamefiles\user\RvB\ww3\ground\containers1.srf,23x8x151,
RVB3_CONTAINERS2,2,2,user\RvB\ww3\ground\containers2.dat,gamefiles\user\RvB\ww3\ground\containers2.srf,66x8x152,
RVB3_DOCKHOUSE,3,3,user\RvB\ww3\ground\dockhouse.dat,gamefiles\user\RvB\ww3\ground\dockhouse.dnm,23x8x53,
RVB3_FISHINGHUTS,5,3,user\RvB\ww3\ground\fishinghuts.dat,gamefiles\user\RvB\ww3\ground\fishinghuts.dnm,19x7x21,
RVB3_FISHING_BOAT,7,7,user\RvB\ww3\ground\fishingboat.dat,gamefiles\user\RvB\ww3\ground\fishingboat.dnm,5x9x33,
RVB3_JC_UP,1,1,user\RvB\ww3\ground\jcup.dat,gamefiles\user\RvB\ww3\ground\jcup.dnm,42x81x42,
RVB3_LARGETANKS,2,2,user\RvB\ww3\ground\largetanks.dat,gamefiles\user\RvB\ww3\ground\largetanks.srf,96x43x120,
RVB3_LOWCLOUD1,17,17,user\RvB\ww3\ground\lowcloud1.dat,gamefiles\user\RvB\ww3\ground\lowcloud1.dnm,604x233x596,
RVB3_LOWCLOUD2,11,11,user\RvB\ww3\ground\lowcloud2.dat,gamefiles\user\RvB\ww3\ground\lowcloud2.dnm,794x374x706,
RVB3_LOWCLOUD3,10,10,user\RvB\ww3\ground\lowcloud3.dat,gamefiles\user\RvB\ww3\ground\lowcloud3.dnm,796x205x1003,
RVB3_LOWCLOUD4,11,11,user\RvB\ww3\ground\lowcloud4.dat,gamefiles\user\RvB\ww3\ground\lowcloud4.dnm,,
RVB3_LOWCLOUD5,7,7,user\RvB\ww3\ground\lowcloud5.dat,gamefiles\user\RvB\ww3\ground\lowcloud5.dnm,657x136x794,
RVB3_LOWCLOUD6,9,9,user\RvB\ww3\ground\lowcloud6.dat,gamefiles\user\RvB\ww3\ground\lowcloud6.dnm,,
RVB3_LOWCLOUD7,8,8,user\RvB\ww3\ground\lowcloud7.dat,gamefiles\user\RvB\ww3\ground\lowcloud7.dnm,,
RVB3_LOWCLOUD8,6,6,user\RvB\ww3\ground\lowcloud8.dat,gamefiles\user\RvB\ww3\ground\lowcloud8.dnm,,
RVB3_OILRIG,1,1,user\RvB\ww3\ground\oilrig.dat,gamefiles\user\RvB\ww3\ground\oilrig.dnm,75x47x55,
RVB3_OLDTANKS,2,2,user\RvB\ww3\ground\oldtanks.dat,gamefiles\user\RvB\ww3\ground\oldtanks.srf,50x11x54,
RVB3_PICKUPAA,9,9,user\RvB\ww3\ground\pickupAA.dat,gamefiles\user\RvB\ww3\ground\pickupAA.dnm,2x2x5,
